Thursday,,,,,,,,,,,,,,
Time,Event,Location,Grade X,Grade XI,Grade FY,Grade SY,Frere,Napier,Papworth,Streeton,Academics,Sport,Society,Misc
06:45 am 07:20 am,Volleyball Team Practice A Level Boys,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
06:45 am 07:25 am,Football Team Practice A & O Level Girls,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
07:30 am 07:45 am,House Registration,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
12:00 pm 02:00 pm,Practical [Biology FY-D],,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01:30 pm 02:30 pm,Urdu Drama Auditions,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
01:40 pm 02:30 pm,Extra Class: Computer Science XI-B & D,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
01:45 pm 02:45 pm,Dead Poet Society Session,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
01:45 pm 02:45 pm,Swimming Society: Girls Training,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
01:45 pm 03:00 pm,Football Team Practice O Level Boys,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
01:45 pm 03:30 pm,Indoor Rowing,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
